id,description,cost
ts-01,white uchicago t-shirt in size medium,5
ts-02,tan american apparel shirt in size medium,0
ts-03,black nasa shirt in size large,5
ts-04,red ncsu convocation 2022 in size medium,0
ts-05,light green ecovillage shirt in size medium,0
ts-06,purple high point univeristy shirt in size medium,0
jeans-01,american eagle stretch skinny jeans,40
shorts-01,black lululemon 2-inch shorts in size 4,68
shorts-02,high-waisted jean shorts in size 27,40
shoes-01,black allbirds shoes,90
jacket-01,white athletic jacket,25
romper-01,blue from eighth grade,15
dress-01,yellow banana republic,35
pants-01,american eagle black cargo pants,